our_rank,our_pos_rank,player_name,position,adp_overall,adp_pos,espn_overall_rank,espn_pos_rank,adp_gap,espn_gap,verdict
1,1,Jahmyr Gibbs,RB,3.7,2.0,1.0,1.0,2.7,0.0,-
2,2,Bijan Robinson,RB,3.1,1.0,2.0,2.0,1.1,0.0,-
3,3,Christian McCaffrey,RB,8.88,3.0,3.0,3.0,5.880000000000001,0.0,-
4,1,Ja'Marr Chase,WR,1.73,1.0,6.0,2.0,-2.27,2.0,-
5,2,Puka Nacua,WR,3.16,2.0,4.0,1.0,-1.8399999999999999,-1.0,-
6,4,Jonathan Taylor,RB,12.23,4.0,5.0,4.0,6.23,-1.0,-
7,5,James Cook III,RB,18.73,6.0,10.0,6.0,11.73,3.0,MARKET FADE (ESPN agrees)
8,3,Amon-Ra St. Brown,WR,6.11,4.0,9.0,4.0,-1.8899999999999997,1.0,-
9,4,Jaxon Smith-Njigba,WR,4.13,3.0,7.0,3.0,-4.87,-2.0,-
10,6,Derrick Henry,RB,39.1,13.0,8.0,5.0,29.1,-2.0,MARKET FADE (ESPN agrees)
11,1,Josh Allen,QB,25.41,1.0,13.0,1.0,14.41,2.0,MARKET FADE (ESPN agrees)
12,7,Josh Jacobs,RB,43.78,16.0,12.0,8.0,31.78,0.0,MARKET FADE (ESPN agrees)
13,8,Ashton Jeanty,RB,16.48,5.0,16.0,11.0,3.4800000000000004,3.0,-
14,9,De'Von Achane,RB,19.69,7.0,11.0,7.0,5.690000000000001,-3.0,-
15,10,Saquon Barkley,RB,26.45,10.0,14.0,9.0,11.45,-1.0,MARKET FADE (ESPN agrees)
16,1,Trey McBride,TE,18.07,1.0,24.0,1.0,2.0700000000000003,8.0,-
17,5,CeeDee Lamb,WR,8.71,5.0,20.0,5.0,-8.29,3.0,-
18,6,Justin Jefferson,WR,9.13,6.0,23.0,6.0,-8.87,5.0,-
19,2,Brock Bowers,TE,20.89,2.0,27.0,2.0,1.8900000000000006,8.0,-
20,11,Chase Brown,RB,19.99,8.0,22.0,16.0,-0.010000000000001563,2.0,-
21,7,Drake London,WR,12.29,7.0,29.0,8.0,-8.71,8.0,-
22,12,Kyren Williams,RB,42.37,15.0,30.0,19.0,20.369999999999997,8.0,MARKET FADE (ESPN agrees)
23,2,Jalen Hurts,QB,57.14,6.0,34.0,4.0,34.14,11.0,MARKET FADE (ESPN agrees)
24,8,A.J. Brown,WR,14.8,8.0,37.0,11.0,-9.2,13.0,-
25,13,Javonte Williams,RB,47.6,17.0,21.0,15.0,22.6,-4.0,MARKET FADE (ESPN agrees)
26,3,Joe Burrow,QB,43.54,4.0,51.0,6.0,17.54,25.0,OUR RANK HIGH (ESPN lower)
27,4,Matthew Stafford,QB,103.82,15.0,57.0,8.0,76.82,30.0,OUR RANK HIGH (ESPN lower)
28,9,Rashee Rice,WR,21.55,12.0,25.0,7.0,-6.449999999999999,-3.0,-
29,5,Trevor Lawrence,QB,77.92,9.0,71.0,12.0,48.92,42.0,OUR RANK HIGH (ESPN lower)
30,14,Kenneth Walker III,RB,31.6,11.0,17.0,12.0,1.6000000000000014,-13.0,-
31,6,Drake Maye,QB,35.08,3.0,33.0,3.0,4.079999999999998,2.0,-
32,15,Breece Hall,RB,41.18,14.0,19.0,14.0,9.18,-13.0,STRONG FADE (ESPN ranks even higher)
33,10,George Pickens,WR,18.34,10.0,39.0,12.0,-14.66,6.0,-
34,11,Nico Collins,WR,15.37,9.0,35.0,9.0,-18.630000000000003,1.0,-
35,7,Lamar Jackson,QB,33.23,2.0,31.0,2.0,-1.7700000000000031,-4.0,-
36,16,Omarion Hampton,RB,24.36,9.0,15.0,10.0,-11.64,-21.0,-
37,3,Colston Loveland,TE,38.98,3.0,46.0,3.0,1.9799999999999969,9.0,-
38,12,Malik Nabers,WR,39.53,21.0,60.0,22.0,1.5300000000000011,22.0,-
39,17,Cam Skattebo,RB,54.63,19.0,28.0,18.0,15.630000000000003,-11.0,STRONG FADE (ESPN ranks even higher)
40,13,DeVonta Smith,WR,24.93,13.0,48.0,17.0,-15.07,8.0,-
41,8,Caleb Williams,QB,68.22,7.0,86.0,15.0,27.22,45.0,OUR RANK HIGH (ESPN lower)
42,9,Jared Goff,QB,108.61,16.0,98.0,16.0,66.61,56.0,OUR RANK HIGH (ESPN lower)
43,14,Chris Olave,WR,20.86,11.0,40.0,13.0,-22.14,-3.0,-
44,15,Zay Flowers,WR,31.35,16.0,41.0,14.0,-12.649999999999999,-3.0,-
45,4,Tyler Warren,TE,54.37,4.0,47.0,4.0,9.369999999999997,2.0,MARKET FADE (ESPN agrees)
46,10,Dak Prescott,QB,79.81,10.0,77.0,13.0,33.81,31.0,OUR RANK HIGH (ESPN lower)
47,16,Davante Adams,WR,48.83,24.0,43.0,15.0,1.8299999999999983,-4.0,-
