player_name,position,team_abbr,ecr_overall_rank,ecr_position_rank,win_total_line
Ja'Marr Chase,WR,CIN,1.73,1.0,10.5
Bijan Robinson,RB,ATL,3.1,1.0,7.5
Puka Nacua,WR,LAR,3.16,2.0,11.5
Jahmyr Gibbs,RB,DET,3.7,2.0,10.5
Jaxon Smith-Njigba,WR,SEA,4.13,3.0,10.5
Amon-Ra St. Brown,WR,DET,6.11,4.0,10.5
CeeDee Lamb,WR,DAL,8.71,5.0,9.5
Christian McCaffrey,RB,SF,8.88,3.0,10.5
Justin Jefferson,WR,MIN,9.13,6.0,8.5
Jonathan Taylor,RB,IND,12.23,4.0,8.5
Drake London,WR,ATL,12.29,7.0,7.5
A.J. Brown,WR,NE,14.8,8.0,9.5
Nico Collins,WR,HOU,15.37,9.0,9.5
Ashton Jeanty,RB,LV,16.48,5.0,6.5
Trey McBride,TE,ARI,18.07,1.0,4.5
George Pickens,WR,DAL,18.34,10.0,9.5
James Cook III,RB,BUF,18.73,6.0,10.5
De'Von Achane,RB,MIA,19.69,7.0,4.5
Chase Brown,RB,CIN,19.99,8.0,10.5
Chris Olave,WR,NO,20.86,11.0,7.5
Brock Bowers,TE,LV,20.89,2.0,6.5
Rashee Rice,WR,KC,21.55,12.0,10.5
Omarion Hampton,RB,LAC,24.36,9.0,10.5
DeVonta Smith,WR,PHI,24.93,13.0,10.5
Josh Allen,QB,BUF,25.41,1.0,10.5
Saquon Barkley,RB,PHI,26.45,10.0,10.5
Garrett Wilson,WR,NYJ,29.47,14.0,5.5
Tetairoa McMillan,WR,CAR,30.39,15.0,6.5
Zay Flowers,WR,BAL,31.35,16.0,11.5
Kenneth Walker III,RB,KC,31.6,11.0,10.5
Tee Higgins,WR,CIN,32.88,17.0,10.5
Lamar Jackson,QB,BAL,33.23,2.0,11.5
Drake Maye,QB,NE,35.08,3.0,9.5
Ladd McConkey,WR,LAC,35.55,18.0,10.5
Jeremiyah Love,RB,ARI,36.96,12.0,4.5
Jaylen Waddle,WR,DEN,38.4,19.0,9.5
Emeka Egbuka,WR,TB,38.7,20.0,8.5
Colston Loveland,TE,CHI,38.98,3.0,9.5
Derrick Henry,RB,BAL,39.1,13.0,11.5
Malik Nabers,WR,NYG,39.53,21.0,7.5
Breece Hall,RB,NYJ,41.18,14.0,5.5
Kyren Williams,RB,LAR,42.37,15.0,11.5
Terry McLaurin,WR,WAS,42.93,22.0,7.5
Joe Burrow,QB,CIN,43.54,4.0,10.5
Josh Jacobs,RB,GB,43.78,16.0,10.5
Luther Burden III,WR,CHI,45.18,23.0,9.5
Javonte Williams,RB,DAL,47.6,17.0,9.5
Travis Etienne Jr.,RB,NO,48.23,18.0,7.5
Davante Adams,WR,LAR,48.83,24.0,11.5
Mike Evans,WR,SF,52.22,25.0,10.5
DJ Moore,WR,BUF,52.98,26.0,10.5
Jameson Williams,WR,DET,53.4,27.0,10.5
Tyler Warren,TE,IND,54.37,4.0,8.5
Cam Skattebo,RB,NYG,54.63,19.0,7.5
Jayden Daniels,QB,WAS,55.08,5.0,7.5
Jalen Hurts,QB,PHI,57.14,6.0,10.5
Bucky Irving,RB,TB,58.28,20.0,8.5
Christian Watson,WR,GB,58.47,28.0,10.5
Rome Odunze,WR,CHI,60.01,29.0,9.5
Quinshon Judkins,RB,CLE,60.69,21.0,5.5
TreVeyon Henderson,RB,NE,60.7,22.0,9.5
D'Andre Swift,RB,CHI,62.04,23.0,9.5
David Montgomery,RB,HOU,64.45,24.0,9.5
Carnell Tate,WR,TEN,66.34,30.0,6.5
Marvin Harrison Jr.,WR,ARI,67.54,31.0,4.5
Caleb Williams,QB,CHI,68.22,7.0,9.5
Justin Herbert,QB,LAC,70.12,8.0,10.5
Bhayshul Tuten,RB,JAC,73.65,25.0,
Tucker Kraft,TE,GB,73.86,5.0,10.5
Jaylen Warren,RB,PIT,73.89,26.0,8.5
Harold Fannin Jr.,TE,CLE,76.1,6.0,5.5
DK Metcalf,WR,PIT,76.13,32.0,8.5
Alec Pierce,WR,IND,77.25,33.0,8.5
Courtland Sutton,WR,DEN,77.29,34.0,9.5
Jadarian Price,RB,SEA,77.77,27.0,10.5
