player_name,position,team,pass_yards_line,rush_yards_line,rec_yards_line,pass_tds_line,rush_tds_line,rec_tds_line,receptions_line,headshot_url
A.J. Brown,WR,NE,,,1116.5,,,7.5,78.5,https://images.fantasypros.com/images/players/nfl/18218/headshot/210x210.webp
Aaron Jones Sr.,RB,MIN,,550.5,,,,,,https://images.fantasypros.com/images/players/nfl/16673/headshot/210x210.webp
Aaron Rodgers,QB,PIT,3050.5,,,20.5,,,,https://images.fantasypros.com/images/players/nfl/9001/headshot/210x210.webp
Alec Pierce,WR,IND,,,900.5,,,5.5,49.5,https://images.fantasypros.com/images/players/nfl/23791/headshot/210x210.webp
Amon-Ra St. Brown,WR,DET,,12.5,1250.5,,,9.5,103.5,https://images.fantasypros.com/images/players/nfl/19799/headshot/210x210.webp
Ashton Jeanty,RB,LV,,975.5,350.5,,7.5,2.5,51.5,https://images.fantasypros.com/images/players/nfl/25989/headshot/210x210.webp
Baker Mayfield,QB,TB,3550.5,309.5,,25.5,1.5,,,https://images.fantasypros.com/images/players/nfl/17237/headshot/210x210.webp
Bhayshul Tuten,RB,JAC,,719.0,,,5.5,,,https://images.fantasypros.com/images/players/nfl/27297/headshot/210x210.webp
Bijan Robinson,RB,ATL,,1325.0,575.5,,8.5,3.5,65.5,https://images.fantasypros.com/images/players/nfl/23133/headshot/210x210.webp
Blake Corum,RB,LAR,,666.5,,,5.5,,,https://images.fantasypros.com/images/players/nfl/23013/headshot/210x210.webp
Bo Nix,QB,DEN,3475.5,,,24.5,,,,https://images.fantasypros.com/images/players/nfl/22910/headshot/210x210.webp
Breece Hall,RB,NYJ,,900.5,325.5,,5.5,2.0,38.5,https://images.fantasypros.com/images/players/nfl/22982/headshot/210x210.webp
Brenton Strange,TE,JAC,,,490.5,,,,44.5,https://images.fantasypros.com/images/players/nfl/25345/headshot/210x210.webp
Brian Thomas Jr.,WR,JAC,,,700.5,,,4.5,50.5,https://images.fantasypros.com/images/players/nfl/23000/headshot/210x210.webp
Brock Bowers,TE,LV,,,900.5,,,7.5,82.5,https://images.fantasypros.com/images/players/nfl/22955/headshot/210x210.webp
Brock Purdy,QB,SF,4100.0,,,27.5,2.5,,,https://images.fantasypros.com/images/players/nfl/19797/headshot/210x210.webp
