player_name,sleeper_name,position,team,adp,adp_overall_rank,adp_pos_rank,proj_pts,rush_att,rush_yd,rush_td,rec,tar,rec_yd,rec_td,cmp,pass_att,pass_yd,pass_td
Bijan Robinson,B. Robinson,RB,ATL,1.9,1,1,293.0,280.0,1372.0,9.0,64.0,,537.0,3.0,,,,
Jahmyr Gibbs,J. Gibbs,RB,DET,2.3,2,2,300.0,255.0,1251.0,12.0,63.0,,533.0,3.0,,,,
Ja'Marr Chase,J. Chase,WR,CIN,3.7,3,1,257.0,3.0,16.0,,109.0,,1345.0,11.0,,,,
Puka Nacua,P. Nacua,WR,LAR,4.8,4,2,259.0,10.0,55.0,,107.0,,1400.0,10.0,,,,
Christian McCaffrey,C. McCaffrey,RB,SF,5.7,5,3,256.0,240.0,984.0,7.0,70.0,,606.0,4.0,,,,
Jonathan Taylor,J. Taylor,RB,IND,6.4,6,4,254.0,287.0,1385.0,11.0,36.0,,278.0,1.0,,,,
Jaxon Smith-Njigba,J. Smith-Njigba,WR,SEA,7.3,7,3,235.0,6.0,33.0,,99.0,,1343.0,8.0,,,,
Amon-Ra St. Brown,A. St. Brown,WR,DET,8.2,8,4,228.0,3.0,16.0,,106.0,,1249.0,8.0,,,,
James Cook III,J. Cook,RB,BUF,8.6,9,5,245.0,264.0,1270.0,11.0,31.0,,268.0,2.0,,,,
CeeDee Lamb,C. Lamb,WR,DAL,10.3,10,5,223.0,3.0,16.0,,96.0,,1249.0,8.0,,,,
Justin Jefferson,J. Jefferson,WR,MIN,11.4,11,6,205.0,1.0,6.0,,90.0,,1178.0,7.0,,,,
Ashton Jeanty,A. Jeanty,RB,LV,11.9,12,6,235.0,281.0,1152.0,8.0,50.0,,383.0,2.0,,,,
Saquon Barkley,S. Barkley,RB,PHI,13.5,13,7,228.0,271.0,1220.0,8.0,37.0,,277.0,2.0,,,,
De'Von Achane,D. Achane,RB,MIA,13.6,14,8,218.0,212.0,1040.0,6.0,55.0,,424.0,2.0,,,,
Omarion Hampton,O. Hampton,RB,LAC,14.7,15,9,219.0,232.0,1025.0,8.0,48.0,,364.0,2.0,,,,
Drake London,D. London,WR,ATL,15.5,16,7,205.0,1.0,6.0,,90.0,,1156.0,7.0,,,,
Chase Brown,C. Brown,RB,CIN,16.4,17,10,227.0,220.0,945.0,8.0,57.0,,417.0,3.0,,,,
Trey McBride,T. McBride,TE,ARI,17.1,18,1,191.0,,,,99.0,,999.0,7.0,,,,
Brock Bowers,B. Bowers,TE,LV,18.0,19,2,188.0,4.0,16.0,,93.0,,979.0,7.0,,,,
A.J. Brown,A. Brown,WR,NE,18.2,20,8,204.0,1.0,6.0,,80.0,,1189.0,7.0,,,,
Nico Collins,N. Collins,WR,HOU,18.5,21,9,206.0,3.0,17.0,,80.0,,1201.0,7.0,,,,
Kenneth Walker III,K. Walker,RB,KC,20.6,22,11,226.0,259.0,1158.0,9.0,37.0,,272.0,2.0,,,,
Derrick Henry,D. Henry,RB,BAL,22.0,23,12,238.0,281.0,1406.0,12.0,17.0,,133.0,1.0,,,,
Jeremiyah Love,J. Love,RB,ARI,22.5,24,13,212.0,230.0,1003.0,6.0,53.0,,392.0,2.0,,,,
Rashee Rice,R. Rice,WR,KC,23.0,25,10,187.0,6.0,30.0,,89.0,,976.0,7.0,,,,
Josh Allen,J. Allen,QB,BUF,24.2,26,1,362.0,110.0,535.0,11.0,,,,,313.0,474.0,3650.0,27.0
