player_name,position,rec_yards_line,rec_tds_line,rush_yards_line,rush_tds_line,pass_yards_line,pass_tds_line,source
A.J. Brown,WR,1087.0,7.0,,,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Aaron Rodgers,QB,,,,,3112.5,20.0,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Alec Pierce,WR,875.5,5.0,,,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Amon-Ra St. Brown,WR,1225.0,9.5,,,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Ashton Jeanty,RB,400.0,2.5,975.0,7.5,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026 + user-provided sportsbook line (RB receiving, not covered by fantasypoints)"
Baker Mayfield,QB,,,,,3550.0,25.0,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Bhayshul Tuten,RB,,,712.0,,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Bijan Robinson,RB,,3.5,1150.5,9.0,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Blake Corum,RB,,,675.0,5.5,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Bo Nix,QB,,,,,3425.0,24.5,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Breece Hall,RB,,,875.5,5.5,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Brian Thomas Jr.,WR,699.5,4.5,,,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Brock Bowers,TE,875.5,7.0,,,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Brock Purdy,QB,,,,,3750.5,26.5,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Bryce Young,QB,,,,,3063.0,20.5,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Bucky Irving,RB,,,813.0,5.5,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
C.J. Stroud,QB,,,,,3600.0,21.5,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Caleb Williams,QB,,,,,3512.5,24.0,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Calvin Ridley,WR,,3.5,,,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Cam Ward,QB,,,,,3250.5,18.5,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Carnell Tate,WR,750.5,4.5,,,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
CeeDee Lamb,WR,1175.5,7.5,,,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Chase Brown,RB,,,825.5,6.0,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Chris Godwin Jr.,WR,,5.0,,,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Chris Olave,WR,1025.5,6.0,,,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Christian McCaffrey,RB,,4.5,937.5,8.5,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Christian Watson,WR,787.5,6.0,,,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Chuba Hubbard,WR,,,,4.5,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
