team_abbr,season_year,win_total_line,over_price,under_price,source
ARI,2022,8.5,,,actionnetwork.com (DraftKings, Aug 2022)
ATL,2022,5,,,actionnetwork.com (DraftKings, Aug 2022)
BAL,2022,9.5,,,actionnetwork.com (DraftKings, Aug 2022)
BUF,2022,11.5,,,actionnetwork.com (DraftKings, Aug 2022)
CAR,2022,6.5,,,actionnetwork.com (DraftKings, Aug 2022)
CHI,2022,6.5,,,actionnetwork.com (DraftKings, Aug 2022)
CIN,2022,10,,,actionnetwork.com (DraftKings, Aug 2022)
CLE,2022,8.5,,,actionnetwork.com (DraftKings, Aug 2022)
DAL,2022,10,,,actionnetwork.com (DraftKings, Aug 2022)
DEN,2022,10,,,actionnetwork.com (DraftKings, Aug 2022)
DET,2022,6.5,,,actionnetwork.com (DraftKings, Aug 2022)
GB,2022,11,,,actionnetwork.com (DraftKings, Aug 2022)
HOU,2022,4.5,,,actionnetwork.com (DraftKings, Aug 2022)
IND,2022,10,,,actionnetwork.com (DraftKings, Aug 2022)
JAX,2022,6.5,,,actionnetwork.com (DraftKings, Aug 2022)
KC,2022,10.5,,,actionnetwork.com (DraftKings, Aug 2022)
LV,2022,8.5,,,actionnetwork.com (DraftKings, Aug 2022)
LAC,2022,10,,,actionnetwork.com (DraftKings, Aug 2022)
LAR,2022,10.5,,,actionnetwork.com (DraftKings, Aug 2022)
MIA,2022,9,,,actionnetwork.com (DraftKings, Aug 2022)
MIN,2022,9,,,actionnetwork.com (DraftKings, Aug 2022)
NE,2022,8.5,,,actionnetwork.com (DraftKings, Aug 2022)
NO,2022,8.5,,,actionnetwork.com (DraftKings, Aug 2022)
NYG,2022,7,,,actionnetwork.com (DraftKings, Aug 2022)
NYJ,2022,5.5,,,actionnetwork.com (DraftKings, Aug 2022)
PHI,2022,9.5,,,actionnetwork.com (DraftKings, Aug 2022)
PIT,2022,7.5,,,actionnetwork.com (DraftKings, Aug 2022)
SF,2022,10,,,actionnetwork.com (DraftKings, Aug 2022)
SEA,2022,5.5,,,actionnetwork.com (DraftKings, Aug 2022)
TB,2022,11.5,,,actionnetwork.com (DraftKings, Aug 2022)
TEN,2022,9,,,actionnetwork.com (DraftKings, Aug 2022)
WAS,2022,8,,,actionnetwork.com (DraftKings, Aug 2022)
ARI,2023,5.5,,,actionnetwork.com (DraftKings, 2023)
ATL,2023,7.5,,,actionnetwork.com (DraftKings, 2023)
BAL,2023,8.5,,,actionnetwork.com (DraftKings, 2023)
BUF,2023,10.5,,,actionnetwork.com (DraftKings, 2023)
CAR,2023,7.5,,,actionnetwork.com (DraftKings, 2023)
CHI,2023,7.5,,,actionnetwork.com (DraftKings, 2023)
CIN,2023,11.5,,,actionnetwork.com (DraftKings, 2023)
CLE,2023,9.5,,,actionnetwork.com (DraftKings, 2023)
DAL,2023,9.5,,,actionnetwork.com (DraftKings, 2023)
DEN,2023,8.5,,,actionnetwork.com (DraftKings, 2023)
DET,2023,9.5,,,actionnetwork.com (DraftKings, 2023)
GB,2023,7.5,,,actionnetwork.com (DraftKings, 2023)
HOU,2023,5.5,,,actionnetwork.com (DraftKings, 2023)
IND,2023,6.5,,,actionnetwork.com (DraftKings, 2023)
JAX,2023,10.5,,,actionnetwork.com (DraftKings, 2023)
KC,2023,11.5,,,actionnetwork.com (DraftKings, 2023)
LV,2023,7.5,,,actionnetwork.com (DraftKings, 2023)
LAC,2023,9.5,,,actionnetwork.com (DraftKings, 2023)
LAR,2023,7.5,,,actionnetwork.com (DraftKings, 2023)
MIA,2023,9.5,,,actionnetwork.com (DraftKings, 2023)
MIN,2023,8.5,,,actionnetwork.com (DraftKings, 2023)
NE,2023,7.5,,,actionnetwork.com (DraftKings, 2023)
NO,2023,9.5,,,actionnetwork.com (DraftKings, 2023)
NYG,2023,8.5,,,actionnetwork.com (DraftKings, 2023)
NYJ,2023,9.5,,,actionnetwork.com (DraftKings, 2023)
PHI,2023,10.5,,,actionnetwork.com (DraftKings, 2023)
PIT,2023,8.5,,,actionnetwork.com (DraftKings, 2023)
SF,2023,11.5,,,actionnetwork.com (DraftKings, 2023)
SEA,2023,8.5,,,actionnetwork.com (DraftKings, 2023)
TB,2023,6.5,,,actionnetwork.com (DraftKings, 2023)
TEN,2023,7.5,,,actionnetwork.com (DraftKings, 2023)
WAS,2023,7.5,,,actionnetwork.com (DraftKings, 2023)
ARI,2024,7.5,,,actionnetwork.com (FanDuel, Aug 2024)
ATL,2024,9.5,,,actionnetwork.com (FanDuel, Aug 2024)
BAL,2024,10.5,,,actionnetwork.com (FanDuel, Aug 2024)
BUF,2024,10.5,,,actionnetwork.com (FanDuel, Aug 2024)
CAR,2024,5.5,,,actionnetwork.com (FanDuel, Aug 2024)
CHI,2024,8.5,,,actionnetwork.com (FanDuel, Aug 2024)
CIN,2024,10.5,,,actionnetwork.com (FanDuel, Aug 2024)
CLE,2024,8.5,,,actionnetwork.com (FanDuel, Aug 2024)
DAL,2024,9.5,,,actionnetwork.com (FanDuel, Aug 2024)
DEN,2024,5.5,,,actionnetwork.com (FanDuel, Aug 2024)
DET,2024,10.5,,,actionnetwork.com (FanDuel, Aug 2024)
GB,2024,9.5,,,actionnetwork.com (FanDuel, Aug 2024)
HOU,2024,9.5,,,actionnetwork.com (FanDuel, Aug 2024)
IND,2024,8.5,,,actionnetwork.com (FanDuel, Aug 2024)
JAX,2024,8.5,,,actionnetwork.com (FanDuel, Aug 2024)
KC,2024,11.5,,,actionnetwork.com (FanDuel, Aug 2024)
LV,2024,6.5,,,actionnetwork.com (FanDuel, Aug 2024)
LAC,2024,8.5,,,actionnetwork.com (FanDuel, Aug 2024)
LAR,2024,8.5,,,actionnetwork.com (FanDuel, Aug 2024)
MIA,2024,9.5,,,actionnetwork.com (FanDuel, Aug 2024)
MIN,2024,7.5,,,actionnetwork.com (FanDuel, Aug 2024)
NE,2024,4.5,,,actionnetwork.com (FanDuel, Aug 2024)
NO,2024,7.5,,,actionnetwork.com (FanDuel, Aug 2024)
NYG,2024,6.5,,,actionnetwork.com (FanDuel, Aug 2024)
NYJ,2024,9.5,,,actionnetwork.com (FanDuel, Aug 2024)
PHI,2024,10.5,,,actionnetwork.com (FanDuel, Aug 2024)
PIT,2024,8.5,,,actionnetwork.com (FanDuel, Aug 2024)
SF,2024,11.5,,,actionnetwork.com (FanDuel, Aug 2024)
SEA,2024,7.5,,,actionnetwork.com (FanDuel, Aug 2024)
TB,2024,7.5,,,actionnetwork.com (FanDuel, Aug 2024)
TEN,2024,6.5,,,actionnetwork.com (FanDuel, Aug 2024)
WAS,2024,6.5,,,actionnetwork.com (FanDuel, Aug 2024)
ARI,2025,8.5,,,dknetwork.draftkings.com (May 2025)
ATL,2025,7.5,,,dknetwork.draftkings.com (May 2025)
BAL,2025,11.5,,,dknetwork.draftkings.com (May 2025)
BUF,2025,11.5,,,dknetwork.draftkings.com (May 2025)
CAR,2025,6.5,,,dknetwork.draftkings.com (May 2025)
