position,value_player,value_team,value_adp,value_wins,value_proj,value_our_rank,vs_player,vs_team,vs_adp,vs_wins,vs_proj,adp_gap,win_gap,proj_diff,score
RB,Jadarian Price,SEA,77.77,10.5,147.05,64,Jeremiyah Love,ARI,36.96,4.5,159.55,40.809999999999995,6.0,-12.5,61.5
RB,David Montgomery,HOU,64.45,9.5,162.05,44,De'Von Achane,MIA,19.69,4.5,169.55,44.760000000000005,5.0,-7.5,58.5
QB,Matthew Stafford,LAR,103.82,11.5,281.5666292134831,30,Jayden Daniels,WAS,55.08,7.5,281.4606741573034,48.739999999999995,4.0,0.10595505617970957,56.02119101123594
WR,Courtland Sutton,DEN,77.29,9.5,148.03515625,69,Garrett Wilson,NYJ,29.47,5.5,162.5859375,47.82000000000001,4.0,-14.55078125,53.08984375
QB,Jared Goff,DET,108.61,10.5,280.27696629213483,38,Jayden Daniels,WAS,55.08,7.5,281.4606741573034,53.53,3.0,-1.1837078651685715,51.76325842696629
WR,Alec Pierce,IND,77.25,8.5,151.74921875,62,Garrett Wilson,NYJ,29.47,5.5,162.5859375,47.78,3.0,-10.836718749999989,49.83265625
QB,Sam Darnold,SEA,141.69,10.5,246.2432584269663,88,Jaxson Dart,NYG,91.31,7.5,258.06213483146064,50.379999999999995,3.0,-11.818876404494347,49.63622471910113
RB,Blake Corum,LAR,109.43,11.5,139.5,77,Bucky Irving,TB,58.28,8.5,153.3,51.150000000000006,3.0,-13.800000000000011,49.239999999999995
WR,DK Metcalf,PIT,76.13,8.5,147.79609375,72,Garrett Wilson,NYJ,29.47,5.5,162.5859375,46.66,3.0,-14.789843749999989,49.04203125
RB,Tony Pollard,TEN,82.67,6.5,149.55,70,Jeremiyah Love,ARI,36.96,4.5,159.55,45.71,2.0,-10.0,46.0
RB,D'Andre Swift,CHI,62.04,9.5,154.3,54,Jeremiyah Love,ARI,36.96,4.5,159.55,25.08,5.0,-5.25,44.03
QB,Jordan Love,GB,118.48,10.5,241.21797752808988,95,Caleb Williams,CHI,68.22,9.5,243.36685393258423,50.260000000000005,1.0,-2.1488764044943593,43.57022471910113
WR,Davante Adams,LAR,48.83,11.5,161.84296875,43,Garrett Wilson,NYJ,29.47,5.5,162.5859375,19.36,6.0,-0.7429687499999886,43.21140625
WR,Jameson Williams,DET,53.4,10.5,156.4875,51,Garrett Wilson,NYJ,29.47,5.5,162.5859375,23.93,5.0,-6.098437499999989,42.7103125
WR,Josh Downs,IND,95.87,8.5,133.93149771341464,89,Marvin Harrison Jr.,ARI,67.54,4.5,142.80171493902438,28.33,4.0,-8.870217225609736,42.55595655487805
WR,Mike Evans,SF,52.22,10.5,157.74921875,49,Garrett Wilson,NYJ,29.47,5.5,162.5859375,22.75,5.0,-4.836718749999989,41.78265625
RB,Derrick Henry,BAL,39.1,11.5,240.75,3,Jonathan Taylor,IND,12.23,8.5,229.3,26.87,3.0,11.449999999999989,41.160000000000004
WR,DJ Moore,BUF,52.98,10.5,148.58125,66,Garrett Wilson,NYJ,29.47,5.5,162.5859375,23.509999999999998,5.0,-14.004687499999989,40.7090625
WR,Khalil Shakir,BUF,118.3,10.5,112.06333841463416,127,Brian Thomas Jr.,JAX,79.4,9.5,124.27421875,38.89999999999999,1.0,-12.210880335365843,40.45782393292682
RB,Travis Etienne Jr.,NO,48.23,7.5,158.3,52,De'Von Achane,MIA,19.69,4.5,169.55,28.539999999999996,3.0,-11.25,38.28999999999999
RB,Kenneth Walker III,KC,31.6,10.5,172.3,28,De'Von Achane,MIA,19.69,4.5,169.55,11.91,6.0,2.75,36.459999999999994
RB,Kyren Williams,LAR,42.37,11.5,199.0,15,Christian McCaffrey,SF,8.88,10.5,204.75,33.489999999999995,1.0,-5.75,36.339999999999996
RB,Bucky Irving,TB,58.28,8.5,153.3,59,Jeremiyah Love,ARI,36.96,4.5,159.55,21.32,4.0,-6.25,36.07
TE,Mark Andrews,BAL,132.55,11.5,106.511320754717,83,Jake Ferguson,DAL,106.51,9.5,100.58490566037736,26.040000000000006,2.0,5.926415094339646,35.225283018867934
WR,Jayden Reed,GB,111.25,10.5,111.88769054878048,128,Brian Thomas Jr.,JAX,79.4,9.5,124.27421875,31.849999999999994,1.0,-12.38652820121952,33.37269435975609
WR,Michael Pittman Jr.,PIT,84.78,8.5,131.7358993902439,91,Marvin Harrison Jr.,ARI,67.54,4.5,142.80171493902438,17.239999999999995,4.0,-11.065815548780478,31.0268368902439
QB,Dak Prescott,DAL,79.81,9.5,270.4261797752809,57,Jayden Daniels,WAS,55.08,7.5,281.4606741573034,24.730000000000004,2.0,-11.034494382022501,30.523101123595502
QB,Baker Mayfield,TB,119.02,8.5,248.6561797752809,96,Jaxson Dart,NYG,91.31,7.5,258.06213483146064,27.709999999999994,1.0,-9.40595505617975,29.828808988764045
