player_name,position,team_abbr,our_rank,vor,ecr_overall_rank,espn_rank,espn_adp,espn_vs_fp_gap
Jahmyr Gibbs,RB,DET,1,99.11590284170242,3.7,1.0,1.63,2.7
Derrick Henry,RB,BAL,2,93.61215284170244,39.1,20.0,20.4,19.1
Ja'Marr Chase,WR,CIN,3,88.82310337228114,1.73,4.0,4.6,-2.27
Puka Nacua,WR,LAR,4,80.29966587228114,3.16,3.0,3.68,0.16000000000000014
Jonathan Taylor,RB,IND,5,78.65215284170242,12.23,7.0,8.13,5.23
Jaxon Smith-Njigba,WR,SEA,6,76.82310337228114,4.13,5.0,5.82,-0.8700000000000001
Amon-Ra St. Brown,WR,DET,7,75.32388462228113,6.11,8.0,8.19,-1.8899999999999997
Ashton Jeanty,RB,LV,8,74.09855486872945,16.48,17.0,17.72,-0.5199999999999996
James Cook III,RB,BUF,9,73.74215284170245,18.73,15.0,14.29,3.7300000000000004
Bijan Robinson,RB,ATL,10,71.44590284170243,3.1,2.0,2.68,1.1
Josh Allen,QB,BUF,11,62.03483904277425,25.41,36.0,22.85,-10.59
Trey McBride,TE,ARI,12,61.22665593466253,18.07,16.0,18.31,2.0700000000000003
CeeDee Lamb,WR,DAL,13,56.44029087228114,8.71,9.0,10.5,-0.28999999999999915
Christian McCaffrey,RB,SF,14,56.11590284170242,8.88,6.0,6.18,2.880000000000001
Kyren Williams,RB,LAR,15,51.862152841702425,42.37,69.0,39.89,-26.630000000000003
Brock Bowers,TE,LV,16,48.8304295195682,20.89,24.0,23.26,-3.1099999999999994
Justin Jefferson,WR,MIN,17,46.48716587228114,9.13,11.0,11.86,-1.8699999999999992
Drake London,WR,ATL,18,46.41763462228113,12.29,13.0,19.62,-0.7100000000000009
Javonte Williams,RB,DAL,19,41.57215284170243,47.6,31.0,37.15,16.6
A.J. Brown,WR,PHI,20,41.13325962228112,14.8,27.0,26.1,-12.2
Saquon Barkley,RB,PHI,21,40.69215284170244,26.45,19.0,17.02,7.449999999999999
Nico Collins,WR,HOU,22,36.53404087228114,15.37,25.0,27.68,-9.63
George Pickens,WR,DAL,23,30.84263462228114,18.34,29.0,27.95,-10.66
Rashee Rice,WR,KC,24,30.24212823818505,21.55,14.0,22.14,7.550000000000001
Josh Jacobs,RB,GB,25,30.21687553077726,43.78,21.0,25.96,22.78
Omarion Hampton,RB,LAC,26,26.94215284170244,24.36,18.0,20.48,6.359999999999999
Chris Olave,WR,NO,27,26.58091587228114,20.86,28.0,35.62,-7.140000000000001
Drake Maye,QB,NE,28,26.181468256257403,35.08,89.0,47.62,-53.92
Kenneth Walker III,RB,SEA,29,23.99215284170245,31.6,30.0,28.65,1.6000000000000014
Colston Loveland,TE,CHI,30,22.039863481832317,38.98,81.0,45.61,-42.02
Joe Burrow,QB,CIN,31,21.837056739403465,43.54,108.0,59.63,-64.46000000000001
DeVonta Smith,WR,PHI,32,20.511384622281128,24.93,34.0,37.83,-9.07
Kyle Pitts Sr.,TE,ATL,33,18.972863096772628,80.23,105.0,65.51,-24.769999999999996
Tyler Warren,TE,IND,34,16.62303637363054,54.37,82.0,46.77,-27.630000000000003
Jalen Hurts,QB,PHI,35,16.004164885470914,57.14,90.0,53.69,-32.86
Tee Higgins,WR,CIN,36,15.913728372281128,32.88,78.0,55.7,-45.12
Tetairoa McMillan,WR,CAR,37,15.605134622281128,30.39,32.0,39.87,-1.6099999999999994
Zay Flowers,WR,BAL,38,14.88950962228114,31.35,33.0,42.5,-1.6499999999999986
Matthew Stafford,QB,LAR,39,14.65224775063939,103.82,123.0,79.07,-19.180000000000007
De'Von Achane,RB,MIA,40,14.22215284170244,19.69,10.0,12.89,9.690000000000001
Tucker Kraft,TE,GB,41,14.202635790577531,73.86,152.0,108.95,-78.14
David Montgomery,RB,DET,42,13.74215284170242,64.45,96.0,72.65,-31.549999999999997
Jared Goff,QB,DET,43,12.564584829291109,108.61,187.0,140.99,-78.39
Jayden Daniels,QB,WAS,44,12.30191769445969,55.08,87.0,51.64,-31.92
Terry McLaurin,WR,WAS,45,11.41294712228114,42.93,77.0,60.02,-34.07
Lamar Jackson,QB,BAL,46,11.194614323673136,33.23,88.0,40.51,-54.77
Garrett Wilson,WR,NYJ,47,10.558259622281128,29.47,26.0,34.6,3.469999999999999
