our_rank,player_name,position,team_abbr,vor,projected_ppr_points,games_missed,team_env_adj,projection_source,ecr_overall_rank,ecr_position_rank,value_vs_adp,team_win_total,replacement_points_at_position,proj_pass_yards,proj_pass_tds,proj_rush_yards,proj_rush_tds,proj_rec_yards,proj_rec_tds,proj_receptions
1,Jahmyr Gibbs,RB,DET,160.13199659170243,308.1,0.0,2.4604687500000004,vegas_prop,3.7,2.0,2.7,10.5,150.42847215829758,,,1360.0,12.5,458.5,3.5,60.5
2,Bijan Robinson,RB,ATL,142.75949659170243,294.8,0.0,-1.61203125,vegas_prop,3.1,1.0,1.1,7.5,150.42847215829758,,,1325.0,8.5,575.5,3.5,65.5
3,Christian McCaffrey,RB,SF,115.98199659170247,263.95000000000005,0.0,2.4604687500000004,vegas_prop,8.88,3.0,5.880000000000001,10.5,150.42847215829758,,,950.5,8.5,566.5,4.5,68.5
4,Ja'Marr Chase,WR,CIN,92.74069712228113,242.8,0.0,1.9683750000000002,vegas_prop,1.73,1.0,-2.27,10.5,152.02767787771887,,,,,1300.5,10.0,105.5
5,Puka Nacua,WR,LAR,86.77669712228112,235.75,0.0,3.0543750000000003,vegas_prop,3.16,2.0,-1.8399999999999999,11.5,152.02767787771887,,,,,1325.0,8.5,104.5
6,Jonathan Taylor,RB,IND,85.36699659170243,236.05,0.0,-0.25453125,vegas_prop,12.23,4.0,6.23,8.5,150.42847215829758,,,1250.5,11.5,192.5,1.5,27.5
7,James Cook III,RB,BUF,84.38199659170245,232.35000000000002,0.0,2.4604687500000004,vegas_prop,18.73,6.0,11.73,10.5,150.42847215829758,,,1200.5,10.5,250.5,1.5,30.5
8,Amon-Ra St. Brown,WR,DET,83.74069712228113,233.8,0.0,1.9683750000000002,vegas_prop,6.11,4.0,-1.8899999999999997,10.5,152.02767787771887,,,,,1250.5,9.5,103.5
9,Jaxon Smith-Njigba,WR,SEA,83.49069712228113,233.55,0.0,1.9683750000000002,vegas_prop,4.13,3.0,-4.87,10.5,152.02767787771887,,,,,1325.5,8.5,100.0
10,Derrick Henry,RB,BAL,81.13949659170243,227.75,0.0,3.8179687500000004,vegas_prop,39.1,13.0,29.1,11.5,150.42847215829758,,,1250.5,12.5,159.5,0.5,17.5
11,Josh Jacobs,RB,GB,67.57929388899971,215.5472972972973,0.0,2.4604687500000004,vegas_prop,43.78,16.0,32.78,10.5,150.42847215829758,,,975.5,11.5,274.5,0.5,37.09459459459459
12,Ashton Jeanty,RB,LV,64.95199659170244,218.35000000000002,0.0,-2.9695312499999997,vegas_prop,16.48,5.0,4.48,6.5,150.42847215829758,,,975.5,7.5,350.5,2.5,51.5
13,De'Von Achane,RB,MIA,64.23699659170244,220.35000000000002,0.0,-5.68453125,vegas_prop,19.69,7.0,6.690000000000001,4.5,150.42847215829758,,,975.5,5.5,400.5,3.5,57.5
14,Saquon Barkley,RB,PHI,61.88199659170245,209.85000000000002,0.0,2.4604687500000004,vegas_prop,26.45,10.0,12.45,10.5,150.42847215829758,,,1075.5,7.5,250.5,2.5,34.5
15,CeeDee Lamb,WR,DAL,56.65469712228114,207.8,0.0,0.882375,vegas_prop,8.71,5.0,-6.289999999999999,9.5,152.02767787771887,,,,,1175.5,7.5,90.5
16,Justin Jefferson,WR,MIN,53.56869712228114,205.8,0.0,-0.203625,vegas_prop,9.13,6.0,-6.869999999999999,8.5,152.02767787771887,,,,,1150.5,7.5,91.5
17,Josh Allen,QB,BUF,53.05156023450609,340.84247191011235,0.0,6.79089375,vegas_prop,25.41,1.0,8.41,10.5,294.58180542560626,3600.5,24.5,500.5,11.5,,,
18,Chase Brown,RB,CIN,52.28199659170242,200.25,0.0,2.4604687500000004,vegas_prop,19.99,8.0,1.9899999999999984,10.5,150.42847215829758,,,850.5,5.5,349.5,3.5,52.5
19,Drake London,WR,ATL,51.48269712228114,204.8,0.0,-1.289625,vegas_prop,12.29,7.0,-6.710000000000001,7.5,152.02767787771887,,,,,1150.5,7.5,89.5
20,Trey McBride,TE,ARI,49.67284014426208,182.8,0.0,-2.5921462500000003,vegas_prop,18.07,1.0,-1.9299999999999997,4.5,130.53501360573793,,,,,950.5,6.5,97.5
21,Kyren Williams,RB,LAR,46.93949659170243,193.55,0.0,3.8179687500000004,vegas_prop,42.37,15.0,21.369999999999997,11.5,150.42847215829758,,,975.5,9.5,192.5,1.0,27.5
