player_name,position,team_abbr,ecr_overall_rank,vegas_implied_points,consensus_implied_points,vegas_vs_consensus_gap
Jared Goff,QB,DET,108.61,280.27696629213483,221.9696488069617,58.307317485173144
Sam Darnold,QB,SEA,141.69,246.2432584269663,188.23919897323435,58.00405945373194
Matthew Stafford,QB,LAR,103.82,281.5666292134831,226.63124724110745,54.935381972375666
Baker Mayfield,QB,TB,119.02,248.6561797752809,203.44331690418556,45.212862871095325
C.J. Stroud,QB,HOU,139.76,236.3752808988764,191.19592435221162,45.17935654666479
Derrick Henry,RB,BAL,39.1,240.75,197.07139042438737,43.678609575612626
Aaron Rodgers,QB,PIT,225.26,213.61404494382023,171.74396385619167,41.87008108762856
Josh Allen,QB,BUF,25.41,331.19359550561796,289.57980469230745,41.613790813310516
Blake Corum,RB,LAR,109.43,139.5,102.84305745799983,36.656942542000166
Trey McBride,TE,ARI,18.07,183.24339622641511,150.19656114998318,33.04683507643193
Tyler Shough,QB,NO,122.87,231.23483146067414,198.30591257395736,32.92891888671679
Bryce Young,QB,CAR,160.24,213.91213483146066,181.5977781897922,32.31435664166847
Jordan Love,QB,GB,118.48,241.21797752808988,209.6047110855328,31.613266442557062
Dak Prescott,QB,DAL,79.81,270.4261797752809,241.46784969339387,28.958330081887027
Javonte Williams,RB,DAL,47.6,191.05,163.03625078709305,28.01374921290696
Cam Ward,QB,TEN,153.47,212.35876404494383,185.05895869373865,27.29980535120518
Brock Purdy,QB,SF,95.46,261.54977528089887,234.92469461577687,26.625080665122
Jalen Hurts,QB,PHI,57.14,285.1629213483146,258.71725725101896,26.445664097295662
Brock Bowers,TE,LV,20.89,170.84716981132078,145.2744123213136,25.572757490007177
Alec Pierce,WR,IND,77.25,151.74921875,127.39938413181278,24.34983461818723
Ja'Marr Chase,WR,CIN,1.73,240.85078125,218.79950582314507,22.051275426854943
Joe Burrow,QB,CIN,43.54,289.5494382022472,268.35566454775756,21.193773654489632
Kyle Pitts Sr.,TE,ATL,80.23,140.9896033885252,120.0100411277216,20.979562260803604
David Montgomery,RB,DET,64.45,162.05,141.18744524160405,20.86255475839596
Drake Maye,QB,NE,35.08,295.3402247191011,274.5243228506087,20.815901868492404
Courtland Sutton,WR,DEN,77.29,148.03515625,127.39938413181278,20.63577211818722
Jaxson Dart,QB,NYG,91.31,258.06213483146064,237.8209291974675,20.241205633993133
DK Metcalf,WR,PIT,76.13,147.79609375,128.56940142751492,19.226692322485093
Tony Pollard,RB,TEN,82.67,149.55,130.51075556432448,19.039244435675528
Kyren Williams,RB,LAR,42.37,199.0,180.2790374911269,18.7209625088731
Jayden Daniels,QB,WAS,55.08,281.4606741573034,263.185544872096,18.275129285207413
Josh Downs,WR,IND,95.87,133.93149771341464,117.32693799849547,16.604559714919176
Jahmyr Gibbs,RB,DET,3.7,247.75,232.33283863277524,15.417161367224764
Jameson Williams,WR,DET,53.4,156.4875,142.25926205917887,14.228237940821145
Jadarian Price,RB,SEA,77.77,147.05,133.10675955496376,13.943240445036253
Dallas Goedert,TE,PHI,123.8,114.62264150943396,101.00150034217603,13.621141167257932
Puka Nacua,WR,LAR,3.16,232.32734375,218.79950582314507,13.527837926854943
Bo Nix,QB,DEN,101.07,242.35842696629211,229.99463742923962,12.363789537052497
Davante Adams,WR,LAR,48.83,161.84296875,149.8648604966758,11.978108253324223
Marvin Harrison Jr.,WR,ARI,67.54,142.80171493902438,131.01724992770758,11.784465011316797
D'Andre Swift,RB,CHI,62.04,154.3,142.94934543751015,11.350654562489865
Mike Evans,WR,TB,52.22,157.74921875,147.06274210919062,10.686476640809389
Jaxon Smith-Njigba,WR,SEA,4.13,228.85078125,218.27703006945285,10.573751180547163
Amon-Ra St. Brown,WR,DET,6.11,227.3515625,216.87407590860178,10.477486591398218
KC Concepcion,WR,CLE,134.39,103.1931211890244,93.70794138218903,9.485179806835362
Trevor Lawrence,QB,JAX,77.92,254.2432584269663,245.71138795613464,8.531870470831649
Rome Odunze,WR,CHI,60.01,145.3828125,137.03431359471728,8.348498905282725
Mark Andrews,TE,BAL,132.55,106.51132075471699,98.41131492167524,8.100005833041749
Travis Kelce,TE,KC,100.93,121.57358490566037,113.73357673659721,7.840008169063154
Terry McLaurin,WR,WAS,42.93,163.440625,156.17534381194756,7.265281188052455
Bucky Irving,RB,TB,58.28,153.3,147.58158786128857,5.718412138711443
Christian Watson,WR,GB,58.47,145.51171875,139.8051063426373,5.706612407362712
Omar Cooper Jr.,WR,NYJ,158.82,94.49855182926828,89.86756734405883,4.630984485209453
Michael Pittman Jr.,WR,IND,84.78,131.7358993902439,127.39938413181278,4.33651525843112
Tyler Warren,TE,IND,54.37,138.63977666538312,134.53948935406711,4.100287311316009
Colston Loveland,TE,CHI,38.98,144.0566037735849,139.99134056125752,4.06526321232738
DJ Moore,WR,CHI,52.98,148.58125,144.58738371192996,3.993866288070052
Tee Higgins,WR,CIN,32.88,167.94140625,164.27083842516686,3.6705678248331424
DeVonta Smith,WR,PHI,24.93,172.5390625,169.11967506200543,3.4193874379945726
Tetairoa McMillan,WR,CAR,30.39,167.6328125,165.22150740358157,2.411305096418431
Zay Flowers,WR,BAL,31.35,166.9171875,164.5640697987706,2.353117701229422
