team_abbr,season_year,win_total_line,actual_wins,actual_losses,ties,error,abs_error,result
ARI,2022,8.5,4.0,13.0,0,-4.5,4.5,UNDER
ATL,2022,5.0,7.0,10.0,0,2.0,2.0,OVER
BAL,2022,9.5,10.0,7.0,0,0.5,0.5,OVER
BUF,2022,11.5,13.0,3.0,0,1.5,1.5,OVER
CAR,2022,6.5,7.0,10.0,0,0.5,0.5,OVER
CHI,2022,6.5,3.0,14.0,0,-3.5,3.5,UNDER
CIN,2022,10.0,12.0,4.0,0,2.0,2.0,OVER
CLE,2022,8.5,7.0,10.0,0,-1.5,1.5,UNDER
DAL,2022,10.0,12.0,5.0,0,2.0,2.0,OVER
DEN,2022,10.0,5.0,12.0,0,-5.0,5.0,UNDER
DET,2022,6.5,9.0,8.0,0,2.5,2.5,OVER
GB,2022,11.0,8.0,9.0,0,-3.0,3.0,UNDER
HOU,2022,4.5,3.5,13.0,1,-1.0,1.0,UNDER
IND,2022,10.0,4.5,12.0,1,-5.5,5.5,UNDER
JAX,2022,6.5,9.0,8.0,0,2.5,2.5,OVER
KC,2022,10.5,14.0,3.0,0,3.5,3.5,OVER
LAC,2022,10.0,10.0,7.0,0,0.0,0.0,PUSH
LAR,2022,10.5,5.0,12.0,0,-5.5,5.5,UNDER
LV,2022,8.5,6.0,11.0,0,-2.5,2.5,UNDER
MIA,2022,9.0,9.0,8.0,0,0.0,0.0,PUSH
MIN,2022,9.0,13.0,4.0,0,4.0,4.0,OVER
NE,2022,8.5,8.0,9.0,0,-0.5,0.5,UNDER
NO,2022,8.5,7.0,10.0,0,-1.5,1.5,UNDER
NYG,2022,7.0,9.5,7.0,1,2.5,2.5,OVER
NYJ,2022,5.5,7.0,10.0,0,1.5,1.5,OVER
PHI,2022,9.5,14.0,3.0,0,4.5,4.5,OVER
PIT,2022,7.5,9.0,8.0,0,1.5,1.5,OVER
SEA,2022,5.5,9.0,8.0,0,3.5,3.5,OVER
SF,2022,10.0,13.0,4.0,0,3.0,3.0,OVER
TB,2022,11.5,8.0,9.0,0,-3.5,3.5,UNDER
TEN,2022,9.0,7.0,10.0,0,-2.0,2.0,UNDER
WAS,2022,8.0,8.5,8.0,1,0.5,0.5,OVER
ARI,2023,5.5,4.0,13.0,0,-1.5,1.5,UNDER
ATL,2023,7.5,7.0,10.0,0,-0.5,0.5,UNDER
BAL,2023,8.5,13.0,4.0,0,4.5,4.5,OVER
BUF,2023,10.5,11.0,6.0,0,0.5,0.5,OVER
CAR,2023,7.5,2.0,15.0,0,-5.5,5.5,UNDER
CHI,2023,7.5,7.0,10.0,0,-0.5,0.5,UNDER
CIN,2023,11.5,9.0,8.0,0,-2.5,2.5,UNDER
CLE,2023,9.5,11.0,6.0,0,1.5,1.5,OVER
DAL,2023,9.5,12.0,5.0,0,2.5,2.5,OVER
DEN,2023,8.5,8.0,9.0,0,-0.5,0.5,UNDER
DET,2023,9.5,12.0,5.0,0,2.5,2.5,OVER
GB,2023,7.5,9.0,8.0,0,1.5,1.5,OVER
HOU,2023,5.5,10.0,7.0,0,4.5,4.5,OVER
IND,2023,6.5,9.0,8.0,0,2.5,2.5,OVER
JAX,2023,10.5,9.0,8.0,0,-1.5,1.5,UNDER
KC,2023,11.5,11.0,6.0,0,-0.5,0.5,UNDER
LAC,2023,9.5,5.0,12.0,0,-4.5,4.5,UNDER
LAR,2023,7.5,10.0,7.0,0,2.5,2.5,OVER
LV,2023,7.5,8.0,9.0,0,0.5,0.5,OVER
MIA,2023,9.5,11.0,6.0,0,1.5,1.5,OVER
MIN,2023,8.5,7.0,10.0,0,-1.5,1.5,UNDER
NE,2023,7.5,4.0,13.0,0,-3.5,3.5,UNDER
NO,2023,9.5,9.0,8.0,0,-0.5,0.5,UNDER
NYG,2023,8.5,6.0,11.0,0,-2.5,2.5,UNDER
NYJ,2023,9.5,7.0,10.0,0,-2.5,2.5,UNDER
PHI,2023,10.5,11.0,6.0,0,0.5,0.5,OVER
PIT,2023,8.5,10.0,7.0,0,1.5,1.5,OVER
SEA,2023,8.5,9.0,8.0,0,0.5,0.5,OVER
SF,2023,11.5,12.0,5.0,0,0.5,0.5,OVER
TB,2023,6.5,9.0,8.0,0,2.5,2.5,OVER
TEN,2023,7.5,6.0,11.0,0,-1.5,1.5,UNDER
WAS,2023,7.5,4.0,13.0,0,-3.5,3.5,UNDER
ARI,2024,7.5,8.0,9.0,0,0.5,0.5,OVER
ATL,2024,9.5,8.0,9.0,0,-1.5,1.5,UNDER
BAL,2024,10.5,12.0,5.0,0,1.5,1.5,OVER
BUF,2024,10.5,13.0,4.0,0,2.5,2.5,OVER
CAR,2024,5.5,5.0,12.0,0,-0.5,0.5,UNDER
CHI,2024,8.5,5.0,12.0,0,-3.5,3.5,UNDER
CIN,2024,10.5,9.0,8.0,0,-1.5,1.5,UNDER
CLE,2024,8.5,3.0,14.0,0,-5.5,5.5,UNDER
DAL,2024,9.5,7.0,10.0,0,-2.5,2.5,UNDER
DEN,2024,5.5,10.0,7.0,0,4.5,4.5,OVER
DET,2024,10.5,15.0,2.0,0,4.5,4.5,OVER
GB,2024,9.5,11.0,6.0,0,1.5,1.5,OVER
HOU,2024,9.5,10.0,7.0,0,0.5,0.5,OVER
IND,2024,8.5,8.0,9.0,0,-0.5,0.5,UNDER
JAX,2024,8.5,4.0,13.0,0,-4.5,4.5,UNDER
KC,2024,11.5,15.0,2.0,0,3.5,3.5,OVER
LAC,2024,8.5,11.0,6.0,0,2.5,2.5,OVER
LAR,2024,8.5,10.0,7.0,0,1.5,1.5,OVER
LV,2024,6.5,4.0,13.0,0,-2.5,2.5,UNDER
MIA,2024,9.5,8.0,9.0,0,-1.5,1.5,UNDER
MIN,2024,7.5,14.0,3.0,0,6.5,6.5,OVER
NE,2024,4.5,4.0,13.0,0,-0.5,0.5,UNDER
NO,2024,7.5,5.0,12.0,0,-2.5,2.5,UNDER
NYG,2024,6.5,3.0,14.0,0,-3.5,3.5,UNDER
NYJ,2024,9.5,5.0,12.0,0,-4.5,4.5,UNDER
PHI,2024,10.5,14.0,3.0,0,3.5,3.5,OVER
PIT,2024,8.5,10.0,7.0,0,1.5,1.5,OVER
SEA,2024,7.5,10.0,7.0,0,2.5,2.5,OVER
SF,2024,11.5,6.0,11.0,0,-5.5,5.5,UNDER
TB,2024,7.5,10.0,7.0,0,2.5,2.5,OVER
TEN,2024,6.5,3.0,14.0,0,-3.5,3.5,UNDER
WAS,2024,6.5,12.0,5.0,0,5.5,5.5,OVER
ARI,2025,8.5,3.0,14.0,0,-5.5,5.5,UNDER
ATL,2025,7.5,8.0,9.0,0,0.5,0.5,OVER
BAL,2025,11.5,8.0,9.0,0,-3.5,3.5,UNDER
BUF,2025,11.5,12.0,5.0,0,0.5,0.5,OVER
CAR,2025,6.5,8.0,9.0,0,1.5,1.5,OVER
CHI,2025,8.5,11.0,6.0,0,2.5,2.5,OVER
CIN,2025,9.5,6.0,11.0,0,-3.5,3.5,UNDER
CLE,2025,4.5,5.0,12.0,0,0.5,0.5,OVER
DAL,2025,7.5,7.5,9.0,1,0.0,0.0,PUSH
DEN,2025,9.5,14.0,3.0,0,4.5,4.5,OVER
DET,2025,10.5,9.0,8.0,0,-1.5,1.5,UNDER
GB,2025,9.5,9.5,7.0,1,0.0,0.0,PUSH
HOU,2025,9.5,12.0,5.0,0,2.5,2.5,OVER
IND,2025,7.5,8.0,9.0,0,0.5,0.5,OVER
JAX,2025,7.5,13.0,4.0,0,5.5,5.5,OVER
KC,2025,11.5,6.0,11.0,0,-5.5,5.5,UNDER
LAC,2025,9.5,11.0,6.0,0,1.5,1.5,OVER
LAR,2025,9.5,12.0,5.0,0,2.5,2.5,OVER
LV,2025,6.5,3.0,14.0,0,-3.5,3.5,UNDER
MIA,2025,8.5,7.0,10.0,0,-1.5,1.5,UNDER
MIN,2025,8.5,9.0,8.0,0,0.5,0.5,OVER
